# ITO - d=165.00nm, RMS=0.089128
# λ(nm)  T_exp  T_calc  Residual
6.220000e+02 8.886000e-01 9.743595e-01 8.575949e-02
6.230000e+02 8.886000e-01 9.751216e-01 8.652165e-02
6.240000e+02 8.886000e-01 9.758775e-01 8.727753e-02
6.250000e+02 8.885000e-01 9.766267e-01 8.812668e-02
6.260000e+02 8.884000e-01 9.773686e-01 8.896864e-02
6.270000e+02 8.884000e-01 9.781029e-01 8.970294e-02
6.280000e+02 8.883000e-01 9.788291e-01 9.052913e-02
6.290000e+02 8.882000e-01 9.795468e-01 9.134677e-02
6.300000e+02 8.881000e-01 9.802554e-01 9.215540e-02
6.310000e+02 8.879000e-01 9.809546e-01 9.305459e-02
6.320000e+02 8.878000e-01 9.816439e-01 9.384389e-02
6.330000e+02 8.876000e-01 9.823229e-01 9.472288e-02
6.340000e+02 8.875000e-01 9.829911e-01 9.549111e-02
6.350000e+02 8.874000e-01 9.836482e-01 9.624818e-02
6.360000e+02 8.872000e-01 9.842936e-01 9.709364e-02
6.370000e+02 8.870000e-01 9.849271e-01 9.792709e-02
6.380000e+02 8.868000e-01 9.855481e-01 9.874812e-02
6.390000e+02 8.866000e-01 9.861563e-01 9.955631e-02
6.400000e+02 8.864000e-01 9.867513e-01 1.003513e-01
6.410000e+02 8.862000e-01 9.873326e-01 1.011326e-01
6.420000e+02 8.859000e-01 9.878998e-01 1.019998e-01
6.430000e+02 8.857000e-01 9.884527e-01 1.027527e-01
6.440000e+02 8.855000e-01 9.889907e-01 1.034907e-01
6.450000e+02 8.853000e-01 9.895136e-01 1.042136e-01
6.460000e+02 8.850000e-01 9.900209e-01 1.050209e-01
6.470000e+02 8.848000e-01 9.905122e-01 1.057122e-01
6.480000e+02 8.845000e-01 9.909873e-01 1.064873e-01
6.490000e+02 8.843000e-01 9.914456e-01 1.071456e-01
6.500000e+02 8.840000e-01 9.918870e-01 1.078870e-01
6.510000e+02 8.837000e-01 9.923178e-01 1.086178e-01
6.520000e+02 8.834000e-01 9.927447e-01 1.093447e-01
6.530000e+02 8.831000e-01 9.931670e-01 1.100670e-01
6.540000e+02 8.828000e-01 9.935843e-01 1.107843e-01
6.550000e+02 8.825000e-01 9.939962e-01 1.114962e-01
6.560000e+02 8.822000e-01 9.944024e-01 1.122024e-01
6.570000e+02 8.819000e-01 9.948022e-01 1.129022e-01
6.580000e+02 8.816000e-01 9.951955e-01 1.135955e-01
6.590000e+02 8.813000e-01 9.955816e-01 1.142816e-01
6.600000e+02 8.810000e-01 9.959604e-01 1.149604e-01
6.610000e+02 8.807000e-01 9.963313e-01 1.156313e-01
6.620000e+02 8.804000e-01 9.966940e-01 1.162940e-01
6.630000e+02 8.800000e-01 9.970482e-01 1.170482e-01
6.640000e+02 8.797000e-01 9.973936e-01 1.176936e-01
6.650000e+02 8.793000e-01 9.977297e-01 1.184297e-01
6.660000e+02 8.789000e-01 9.980562e-01 1.191562e-01
6.670000e+02 8.786000e-01 9.983729e-01 1.197729e-01
6.680000e+02 8.782000e-01 9.986794e-01 1.204794e-01
6.690000e+02 8.779000e-01 9.989754e-01 1.210754e-01
6.700000e+02 8.775000e-01 9.992607e-01 1.217607e-01
6.710000e+02 8.771000e-01 9.995350e-01 1.224350e-01
6.720000e+02 8.767000e-01 9.997979e-01 1.230979e-01
6.730000e+02 8.763000e-01 1.000049e+00 1.237493e-01
6.740000e+02 8.759000e-01 1.000289e+00 1.243888e-01
6.750000e+02 8.755000e-01 1.000516e+00 1.250163e-01
6.760000e+02 8.750000e-01 1.000731e+00 1.257315e-01
6.770000e+02 8.746000e-01 1.000934e+00 1.263341e-01
6.780000e+02 8.742000e-01 1.001124e+00 1.269240e-01
6.790000e+02 8.738000e-01 1.001301e+00 1.275009e-01
6.800000e+02 8.734000e-01 1.001465e+00 1.280647e-01
6.810000e+02 8.729000e-01 1.001615e+00 1.287151e-01
6.820000e+02 8.725000e-01 1.001752e+00 1.292520e-01
6.830000e+02 8.721000e-01 1.001875e+00 1.297751e-01
6.840000e+02 8.717000e-01 1.001984e+00 1.302844e-01
6.850000e+02 8.712000e-01 1.002080e+00 1.308795e-01
6.860000e+02 8.708000e-01 1.002160e+00 1.313605e-01
6.870000e+02 8.704000e-01 1.002227e+00 1.318270e-01
