ESTIMATED THICKNESSES NOBS=195
Thickness of film 1 = 170.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 850.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
7.03092783505154670820e+02 1.96354577961351939308e+00 1.71554038954606705158e-02
7.06185567010309341640e+02 1.96306584991462496070e+00 1.75673897120494429402e-02
7.09278350515463898773e+02 1.96258592021573052833e+00 1.79793755286382153646e-02
7.12371134020618569593e+02 1.96210599051683609595e+00 1.83827846101142639013e-02
7.15463917525773240413e+02 1.96162606081794166357e+00 1.87861936915903124379e-02
7.18556701030927797547e+02 1.96114613111904723119e+00 1.91750687090782301336e-02
7.21649484536082468367e+02 1.96066620142015279882e+00 1.95454928555977326676e-02
7.24742268041237139187e+02 1.96018627172125836644e+00 1.99159170021172352016e-02
7.27835051546391696320e+02 1.95970634202236393406e+00 2.02863411486367377357e-02
7.30927835051546480827e+02 1.95922641232346950169e+00 2.06567652951562402697e-02
7.34020618556701037960e+02 1.95874648262457506931e+00 2.09867758517757671544e-02
7.37113402061855708780e+02 1.95826655292568063693e+00 2.13167864083952940391e-02
7.40206185567010379600e+02 1.95778662322678620455e+00 2.16467969650148209237e-02
7.43298969072164936733e+02 1.95730669352789177218e+00 2.19768075216343478084e-02
7.46391752577319607553e+02 1.95682676382899733980e+00 2.22402238237955525435e-02
7.49484536082474278373e+02 1.95634683413010290742e+00 2.25036401259567572786e-02
7.52577319587628835507e+02 1.95586690443120847505e+00 2.26145838477231596320e-02
7.55670103092783506327e+02 1.95538697473231404267e+00 2.27255275694895619853e-02
7.58762886597938177147e+02 1.95490704503341961029e+00 2.28364712912559643387e-02
7.61855670103092734280e+02 1.95442711533452517791e+00 2.29474150130223666921e-02
7.64948453608247518787e+02 1.95394718563563074554e+00 2.29811998644940639058e-02
7.68041237113402075920e+02 1.95346725593673631316e+00 2.30149847159657611195e-02
7.71134020618556633053e+02 1.95298732623784188078e+00 2.30487695674374583332e-02
7.74226804123711417560e+02 1.95250739653894744841e+00 2.29641694349637243144e-02
7.77319587628865974693e+02 1.95202746684005301603e+00 2.28795693024899902956e-02
7.80412371134020645513e+02 1.95154753714115858365e+00 2.27949691700162562769e-02
7.83505154639175316333e+02 1.95106760744226415127e+00 2.26779503937575357964e-02
7.86597938144329873467e+02 1.95058767774336971890e+00 2.25609316174988153159e-02
7.89690721649484544287e+02 1.95010774804447528652e+00 2.24280037366950610322e-02
7.92783505154639215107e+02 1.94962781834558085414e+00 2.22950758558913067486e-02
7.95876288659793772240e+02 1.94914788864668642177e+00 2.21621479750875524650e-02
7.98969072164948443060e+02 1.94866795894779198939e+00 2.20292200942837981814e-02
8.02061855670103113880e+02 1.94818802924889755701e+00 2.18962223220145295322e-02
8.05154639175257671013e+02 1.94770809955000312463e+00 2.17632245497452608829e-02
8.08247422680412455520e+02 1.94722816985110869226e+00 2.16302267774759922336e-02
8.11340206185567012653e+02 1.94674824015221425988e+00 2.14972290052067235844e-02
8.14432989690721683473e+02 1.94626831045331982750e+00 2.13642312329374549351e-02
8.17525773195876354293e+02 1.94578838075442539512e+00 2.11934386766558860438e-02
8.20618556701030911427e+02 1.94530845105553096275e+00 2.10226461203743171524e-02
8.23711340206185582247e+02 1.94482852135663653037e+00 2.08518535640927482611e-02
8.26804123711340253067e+02 1.94434859165774209799e+00 2.06580405473327233246e-02
8.29896907216494810200e+02 1.94386866195884766562e+00 2.04139204215475419946e-02
8.32989690721649481020e+02 1.94338873225995323324e+00 2.01698002957623606646e-02
8.36082474226804151840e+02 1.94290880256105880086e+00 1.98989447910545742826e-02
8.39175257731958708973e+02 1.94242887286216436848e+00 1.96280892863467879006e-02
8.42268041237113493480e+02 1.94194894316326993611e+00 1.93072234753585703082e-02
8.45360824742268050613e+02 1.94146901346437550373e+00 1.89863576643703527158e-02
8.48453608247422721433e+02 1.94098908376548107135e+00 1.86654918533821351234e-02
8.51546391752577392253e+02 1.94050915406658663898e+00 1.83446260423939175310e-02
8.54639175257731949387e+02 1.94002922436769220660e+00 1.79600090862501518552e-02
8.57731958762886620207e+02 1.93954929466879777422e+00 1.75753921301063861793e-02
8.60824742268041291027e+02 1.93906936496990334184e+00 1.71907751739626205034e-02
8.63917525773195848160e+02 1.93858943527100890947e+00 1.68061582178188548276e-02
8.67010309278350518980e+02 1.93810950557211447709e+00 1.64215412616750891517e-02
8.70103092783505189800e+02 1.93762957587322004471e+00 1.60369243055313234758e-02
8.73195876288659746933e+02 1.93714964617432561234e+00 1.56523073493875577999e-02
8.76288659793814531440e+02 1.93666971647543117996e+00 1.52676903932437938588e-02
8.79381443298969088573e+02 1.93618978677653674758e+00 1.48830734371000299177e-02
8.82474226804123645707e+02 1.93570985707764231520e+00 1.45014561713634158868e-02
8.85567010309278430213e+02 1.93522992737874788283e+00 1.41198389056268018560e-02
8.88659793814432987347e+02 1.93474999767985345045e+00 1.37382216398901878252e-02
8.91752577319587658167e+02 1.93427006798095901807e+00 1.33566043741535737943e-02
8.94845360824742328987e+02 1.93379013828206458570e+00 1.29749871084169597635e-02
8.97938144329896886120e+02 1.93331020858317015332e+00 1.25933698426803457326e-02
9.01030927835051556940e+02 1.93283027888427572094e+00 1.22117525769437317018e-02
9.04123711340206227760e+02 1.93235034918538128856e+00 1.18301353112071176710e-02
9.07216494845360784893e+02 1.93187041948648685619e+00 1.14485180454705036401e-02
9.10309278350515455713e+02 1.93139048978759242381e+00 1.10669007797338896093e-02
9.13402061855670126533e+02 1.93091056008869799143e+00 1.06852835139972755785e-02
9.16494845360824797353e+02 1.93043063038980355905e+00 1.03036662482606615476e-02
9.19587628865979354487e+02 1.92995070069090912668e+00 9.92204898252404751680e-03
9.22680412371134025307e+02 1.92947077099201469430e+00 9.54043171678743348596e-03
9.25773195876288696127e+02 1.92899084129312026192e+00 9.15881445105081945512e-03
9.28865979381443366947e+02 1.92851091159422582955e+00 8.77719718531420542429e-03
9.31958762886597924080e+02 1.92803098189533139717e+00 8.39557991957759139345e-03
9.35051546391752594900e+02 1.92755105219643696479e+00 8.01396265384097736262e-03
9.38144329896907265720e+02 1.92707112249754253241e+00 7.63234538810436333178e-03
9.41237113402061822853e+02 1.92659119279864810004e+00 7.25072812236774930095e-03
9.44329896907216493673e+02 1.92611126309975366766e+00 6.86911085663113527011e-03
9.47422680412371164493e+02 1.92563133340085923528e+00 6.48749359089452123928e-03
9.50515463917525835313e+02 1.92515140370196480291e+00 6.10587632515790720844e-03
9.53608247422680392447e+02 1.92467147400307037053e+00 5.72425905942129317761e-03
9.56701030927835063267e+02 1.92419154430417593815e+00 5.34264179368467914677e-03
9.59793814432989734087e+02 1.92371161460528150577e+00 4.96102452794806511593e-03
9.62886597938144404907e+02 1.92323168490638707340e+00 4.57940726221145108510e-03
9.65979381443298962040e+02 1.92275175520749264102e+00 4.19778999647483705426e-03
9.69072164948453632860e+02 1.92227182550859820864e+00 3.81617273073822302343e-03
9.72164948453608303680e+02 1.92179189580970377627e+00 3.43455546500160899259e-03
9.75257731958762860813e+02 1.92131196611080934389e+00 3.05293819926499496176e-03
9.78350515463917531633e+02 1.92083203641191491151e+00 2.67132093352838093092e-03
9.81443298969072202453e+02 1.92035210671302047913e+00 2.28970366779176690009e-03
9.84536082474226873273e+02 1.91987217701412604676e+00 1.90808640205515286925e-03
9.87628865979381430407e+02 1.91939224731523161438e+00 1.52646913631853862157e-03
9.90721649484536101227e+02 1.91891231761633718200e+00 1.14485187058192437390e-03
9.93814432989690772047e+02 1.91843238791744274963e+00 7.63234604845310126223e-04
9.96907216494845329180e+02 1.91795245821854831725e+00 3.81617339108695932757e-04
1.00000000000000000000e+03 1.91747252851965388487e+00 7.33720817920246160875e-11


TRANSMITTANCE WITH THE ESTIMATED THICKNESSES AND OPTICAL PARAMETERS

lambda                     t
4.00000000000000000000e+02 8.17626111572504310487e-01
